"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Hyssopus officinalis","Ysop","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/hyssopus-officinalis-saatgut-kaufen.html"
"Hyssopus officinalis","Ysop","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/hyssopus-officinalis-695-wildpflanze-naturnah.html"
"Iberis amara","Bittere Schleifenblume","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/iberis-amara-saatgut-kaufen.html"
"Inula britannica","Wiesen-Alant","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/inula-britannica-wildpflanze-naturnah.html"
"Inula hirta","Rauer Alant","Hof Berg-Garten",NA
"Iris germanica","Deutsche Schwertlilie,Bart-Iris","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/iris-germanica-florentina-wildpflanze-naturnah.html"
"Iris sibirica","Sibirische Schwertlilie,Wiesen-Schwertlilie, Blaue Schwertlilie","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/iris-sibirica-saatgut-kaufen.html"
"Iris sibirica","Sibirische Schwertlilie,Wiesen-Schwertlilie, Blaue Schwertlilie","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/iris-sibirica-706-wildpflanze-naturnah.html"
"Iris variegata","Bunte Schwertlilie","Hof Berg-Garten",NA
"Jasione laevis","Ausdauerndes Sandglöckchen","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/jasione-laevis-wildpflanze-naturnah.html"
"Jasione montana","Berg-Sandglöckchen,Schafrapunzel","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/jasione-montana-saatgut-kaufen.html"
"Juncus subnodulosus","Stumpfblütige Binse","Hof Berg-Garten",NA
"Koeleria glauca","Blaugraue Kammschmiele,Schillergras","Hof Berg-Garten","https://shop.hof-berggarten.de/pflanzen-bio-versand/pflanze-im-topf/koeleria-glauca-713-wildpflanze-naturnah.html"
"Lactuca perennis","Blauer Lattich","Hof Berg-Garten",NA
"Lactuca virosa","Gift-Lattich","Hof Berg-Garten",NA
"Laserpitium prutenicum","Preußisches Laserkraut","Hof Berg-Garten",NA
"Laserpitium siler","Berg-Laserkraut,Bergkümmel","Hof Berg-Garten",NA
"Lathyrus aphaca","Ranken-Platterbse","Hof Berg-Garten",NA
"Lathyrus heterophyllus","Verschiedenblättrige Platterbs","Hof Berg-Garten",NA
"Lathyrus palustris","Sumpf-Platterbse","Hof Berg-Garten",NA
"Ledum palustre","Sumpf-Porst","Hof Berg-Garten",NA
"Legousia speculum-veneris","Venus-Frauenspiegel","Hof Berg-Garten","https://shop.hof-berggarten.de/samen-kaufen/einzelsaatgut/legousia-speculum-veneris-saatgut-kaufen.html"
"Leucojum vernum","Märzenbecher","Hof Berg-Garten",NA
