"Wissenschaftlicher Name","Deutscher Name","Produzent","URL"
"Myosotis rehsteineri","Rehsteiners Vergissmeinnicht,Bodensee-Vergissmeinnicht","Blauetikett Bornträger",NA
"Myricaria germanica","Deutsche Tamariske,Rispelstrauch","Blauetikett Bornträger",NA
"Myriophyllum verticillatum","Quirliges Tausendblatt","Blauetikett Bornträger",NA
"Nepeta cataria","Katzenminze","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/nepeta-cataria-katzenminze.html"
"Nigella arvensis","Acker-Schwarzkümmel","Blauetikett Bornträger",NA
"Nonea pulla","Braunes Mönchskraut,Dunkles Runzelnüsschen, Napfkraut","Blauetikett Bornträger",NA
"Nymphaea alba","Weiße Seerose,Wasserlilie","Blauetikett Bornträger",NA
"Nymphaea candida","Kleine Seerose","Blauetikett Bornträger",NA
"Nymphoides peltata","Europäische Seekanne,Teichenzian","Blauetikett Bornträger",NA
"Odontites luteus","Gelber Zahntrost","Blauetikett Bornträger",NA
"Oenanthe peucedanifolia","Haarstrangblättriger Wasserfenchel","Blauetikett Bornträger",NA
"Onobrychis montana","Berg-Esparsette","Blauetikett Bornträger",NA
"Ononis natrix","Gelbe Hauhechel","Blauetikett Bornträger",NA
"Onopordum acanthium","Gewöhnliche Eselsdistel","Blauetikett Bornträger",NA
"Orlaya grandiflora","Strahlen-Breitsame","Blauetikett Bornträger",NA
"Ornithogalum nutans","Nickender Milchstern,Nickende Vogelmilch","Blauetikett Bornträger",NA
"Ornithopus perpusillus","Kleiner Vogelfuß,Mäusewicke","Blauetikett Bornträger",NA
"Osmunda regalis","Königsfarn","Blauetikett Bornträger",NA
"Oxytropis pilosa","Steppen-Spitzkiel","Blauetikett Bornträger",NA
"Papaver argemone","Sand-Mohn","Blauetikett Bornträger",NA
"Papaver dubium","Saat-Mohn","Blauetikett Bornträger",NA
"Petrorhagia prolifera","Sprossende Felsennelke","Blauetikett Bornträger",NA
"Peucedanum alsaticum","Elsässer Haarstrang","Blauetikett Bornträger",NA
"Peucedanum carvifolia","Kümmel-Haarstrang,Kümmelblatt-Haarstrang","Blauetikett Bornträger",NA
"Peucedanum cervaria","Hirschwurz-Haarstrang","Blauetikett Bornträger",NA
"Peucedanum officinale","Echter Haarstrang","Blauetikett Bornträger",NA
"Peucedanum oreoselinum","Berg-Haarstrang","Blauetikett Bornträger",NA
"Peucedanum ostruthium","Meisterwurz","Blauetikett Bornträger","https://www.blauetikett.de/samen-1/wildblumen/peucedanum-ostruthium-meisterwurz.html"
"Peucedanum palustre","Sumpf-Haarstrang","Blauetikett Bornträger",NA
"Phleum phleoides","Steppen-Lieschgras","Blauetikett Bornträger",NA
"Phyteuma orbiculare","Kugelige Teufelskralle","Blauetikett Bornträger",NA
"Platanthera bifolia","Weiße Waldhyazinthe","Blauetikett Bornträger",NA
"Platanthera chlorantha","Grünliche Waldhyazinthe","Blauetikett Bornträger",NA
"Poa alpina","Alpen-Rispengras","Blauetikett Bornträger",NA
"Polemonium caeruleum","Blaue Himmelsleiter,Jakobsleiter","Blauetikett Bornträger",NA
"Polystichum braunii","Brauns Schildfarn","Blauetikett Bornträger",NA
"Populus nigra","Schwarz-Pappel,Saarbaum","Blauetikett Bornträger",NA
"Potentilla alba","Weißes Fingerkraut","Blauetikett Bornträger",NA
"Potentilla aurea","Gold-Fingerkraut","Blauetikett Bornträger",NA
"Potentilla incana","Sand-Fingerkraut","Blauetikett Bornträger",NA
"Potentilla palustris","Sumpfblutauge,Sumpf-Fingerkraut","Blauetikett Bornträger",NA
"Potentilla rupestris","Felsen-Fingerkraut","Blauetikett Bornträger",NA
"Primula auricula","Alpen-Aurikel","Blauetikett Bornträger",NA
"Primula hirsuta","Behaarte Primel","Blauetikett Bornträger",NA
"Primula vulgaris","Stängellose Schlüsselblume","Blauetikett Bornträger",NA
"Prunella grandiflora","Großblütige Braunelle","Blauetikett Bornträger",NA
"Pseudolysimachion longifolium","Langblättriger Ehrenpreis","Blauetikett Bornträger",NA
"Pulmonaria mollis","Weiches Lungenkraut","Blauetikett Bornträger",NA
