"Species","Producer","URL"
"Gentiana lutea","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/arznei-gewuerz-und-kulturpflanzen.html?tt_products%5Bpp%5D=0"
"Gentiana pneumonanthe","Rieger-Hofmann",NA
"Gentiana verna","Rieger-Hofmann",NA
"Gentianella germanica","Rieger-Hofmann",NA
"Geranium dissectum","Rieger-Hofmann",NA
"Geranium palustre","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Geranium phaeum","Rieger-Hofmann",NA
"Geranium pratense","Rieger-Hofmann","https://www.rieger-hofmann.de/rieger-hofmann-shop/einzelarten/blumen.html?tt_products%5Bpp%5D=2"
"Geranium rotundifolium","Rieger-Hofmann",NA
"Geranium sanguineum","Rieger-Hofmann",NA
"Geranium sylvaticum","Rieger-Hofmann",NA
"Geum rivale","Rieger-Hofmann",NA
"Gladiolus palustris","Rieger-Hofmann",NA
"Glaucium flavum","Rieger-Hofmann",NA
