State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Saxony-Anhalt,Cynosurus cristatus,3,Sun,moist,N-rich,acidic,loamy,NA,60,green,NA,Butterflies (5 spp.),NA,5 spp. of mammals,NA,NA,40-60 cm
Schleswig-Holstein,Cynosurus cristatus,V,Sun,moist,N-rich,acidic,loamy,NA,60,green,NA,Butterflies (5 spp.),NA,5 spp. of mammals,NA,NA,40-60 cm
Baden-Württemberg,Cyperus longus,0,Sun to Half-shade,wet,NA,acidic,permeable to loamy,to -17 °C (to Climatic zone 7),120,brown,NA,NA,NA,NA,NA,NA,100+ cm
Berlin,Cystopteris fragilis,1,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Brandenburg,Cystopteris fragilis,2,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Hamburg,Cystopteris fragilis,0,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Cystopteris fragilis,1,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Cystopteris fragilis,3,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Cystopteris fragilis,3,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Schleswig-Holstein,Cystopteris fragilis,1,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Thuringia,Cystopteris fragilis,3,Half-shade to Shade,wet to moist,NA,NA,NA,NA,45,brown,NA,NA,NA,NA,NA,NA,40-60 cm
Baden-Württemberg,Cytisus nigricans,V,Sun to Half-shade,dry,NA,NA,permeable,NA,100,yellow,Bees (1 spp.),Butterflies (4 spp.),NA,NA,NA,yes,60-100 cm
Bavaria,Cytisus nigricans,3,Sun to Half-shade,dry,NA,NA,permeable,NA,100,yellow,Bees (1 spp.),Butterflies (4 spp.),NA,NA,NA,yes,60-100 cm
Brandenburg,Cytisus nigricans,1,Sun to Half-shade,dry,NA,NA,permeable,NA,100,yellow,Bees (1 spp.),Butterflies (4 spp.),NA,NA,NA,yes,60-100 cm
Saxony,Cytisus nigricans,3,Sun to Half-shade,dry,NA,NA,permeable,NA,100,yellow,Bees (1 spp.),Butterflies (4 spp.),NA,NA,NA,yes,60-100 cm
Thuringia,Cytisus nigricans,V,Sun to Half-shade,dry,NA,NA,permeable,NA,100,yellow,Bees (1 spp.),Butterflies (4 spp.),NA,NA,NA,yes,60-100 cm
Berlin,Dactylis polygama,G,Sun to Half-shade,moist,N-rich,acidic,loamy,NA,100,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Hamburg,Dactylis polygama,R,Sun to Half-shade,moist,N-rich,acidic,loamy,NA,100,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Dactylorhiza incarnata,3,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Berlin,Dactylorhiza incarnata,1,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Brandenburg,Dactylorhiza incarnata,1,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Brandenburg,Dactylorhiza incarnata,2,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Hamburg,Dactylorhiza incarnata,1,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Hesse,Dactylorhiza incarnata,2,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Dactylorhiza incarnata,2,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Rhineland-Palatinate,Dactylorhiza incarnata,2,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Saarland,Dactylorhiza incarnata,2,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Saxony,Dactylorhiza incarnata,1,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Dactylorhiza incarnata,2,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Schleswig-Holstein,Dactylorhiza incarnata,2,NA,wet,NA,NA,permeable to loamy,NA,60,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Dactylorhiza praetermissa,3,Sun to Half-shade,wet,NA,alkaline,NA,NA,70,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Hamburg,Dactylorhiza praetermissa,2,Sun to Half-shade,wet,NA,alkaline,NA,NA,70,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Saarland,Dactylorhiza praetermissa,2,Sun to Half-shade,wet,NA,alkaline,NA,NA,70,rose,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Berlin,Danthonia decumbens,V,Sun,moist to dry,N-poor,acidic,loamy,NA,50,green,NA,Butterflies (7 spp.),NA,NA,NA,yes,40-60 cm
Hamburg,Danthonia decumbens,2,Sun,moist to dry,N-poor,acidic,loamy,NA,50,green,NA,Butterflies (7 spp.),NA,NA,NA,yes,40-60 cm
Hesse,Danthonia decumbens,V,Sun,moist to dry,N-poor,acidic,loamy,NA,50,green,NA,Butterflies (7 spp.),NA,NA,NA,yes,40-60 cm
Mecklenburg-Western Pomerania,Danthonia decumbens,V,Sun,moist to dry,N-poor,acidic,loamy,NA,50,green,NA,Butterflies (7 spp.),NA,NA,NA,yes,40-60 cm
Saarland,Danthonia decumbens,V,Sun,moist to dry,N-poor,acidic,loamy,NA,50,green,NA,Butterflies (7 spp.),NA,NA,NA,yes,40-60 cm
Schleswig-Holstein,Danthonia decumbens,3,Sun,moist to dry,N-poor,acidic,loamy,NA,50,green,NA,Butterflies (7 spp.),NA,NA,NA,yes,40-60 cm
Baden-Württemberg,Daphne cneorum,2,Sun to Half-shade,moist to dry,intermediate,alkaline,permeable to normal,to -28 °C (to Climatic zone 5),40,rose,NA,Butterflies (1 spp.),NA,NA,NA,yes,0-40 cm
Bavaria,Daphne cneorum,2,Sun to Half-shade,moist to dry,intermediate,alkaline,permeable to normal,to -28 °C (to Climatic zone 5),40,rose,NA,Butterflies (1 spp.),NA,NA,NA,yes,0-40 cm
Hesse,Daphne cneorum,0,Sun to Half-shade,moist to dry,intermediate,alkaline,permeable to normal,to -28 °C (to Climatic zone 5),40,rose,NA,Butterflies (1 spp.),NA,NA,NA,yes,0-40 cm
Rhineland-Palatinate,Daphne cneorum,1,Sun to Half-shade,moist to dry,intermediate,alkaline,permeable to normal,to -28 °C (to Climatic zone 5),40,rose,NA,Butterflies (1 spp.),NA,NA,NA,yes,0-40 cm
Brandenburg,Daphne mezereum,0,Sun to Shade,wet to moist,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),120,rose,NA,NA,NA,NA,NA,NA,100+ cm
Mecklenburg-Western Pomerania,Daphne mezereum,R,Sun to Shade,wet to moist,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),120,rose,NA,NA,NA,NA,NA,NA,100+ cm
Saxony,Daphne mezereum,3,Sun to Shade,wet to moist,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),120,rose,NA,NA,NA,NA,NA,NA,100+ cm
Schleswig-Holstein,Daphne mezereum,1,Sun to Shade,wet to moist,N-rich,NA,loamy,to -34 °C (to Climatic zone 4),120,rose,NA,NA,NA,NA,NA,NA,100+ cm
Baden-Württemberg,Descurainia sophia,3,Sun,moist to dry,NA,NA,loamy,NA,100,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Hamburg,Descurainia sophia,2,Sun,moist to dry,NA,NA,loamy,NA,100,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
North Rhine-Westphalia,Descurainia sophia,3,Sun,moist to dry,NA,NA,loamy,NA,100,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Saarland,Descurainia sophia,V,Sun,moist to dry,NA,NA,loamy,NA,100,yellow,NA,Butterflies (2 spp.),NA,NA,NA,NA,60-100 cm
Brandenburg,Dianthus arenarius,1,Sun,moist to dry,N-rich,NA,permeable,to -40 °C (to Climatic zone 3),30,white,Bees,Butterflies,NA,NA,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Dianthus arenarius,1,Sun,moist to dry,N-rich,NA,permeable,to -40 °C (to Climatic zone 3),30,white,Bees,Butterflies,NA,NA,NA,yes,0-40 cm
Baden-Württemberg,Dianthus armeria,V,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Berlin,Dianthus armeria,V,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Brandenburg,Dianthus armeria,2,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Mecklenburg-Western Pomerania,Dianthus armeria,1,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
North Rhine-Westphalia,Dianthus armeria,3,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Saxony,Dianthus armeria,1,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Saxony-Anhalt,Dianthus armeria,3,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Schleswig-Holstein,Dianthus armeria,1,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Thuringia,Dianthus armeria,V,Sun,moist to dry,intermediate,NA,permeable to normal,NA,40,red,Bees,Butterflies,NA,NA,NA,"yes, medium pots",0-40 cm
Baden-Württemberg,Dianthus carthusianorum,V,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Berlin,Dianthus carthusianorum,1,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Brandenburg,Dianthus carthusianorum,3,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Bremen/Lower Saxony,Dianthus carthusianorum,3,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Hamburg,Dianthus carthusianorum,1,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Hesse,Dianthus carthusianorum,V,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Mecklenburg-Western Pomerania,Dianthus carthusianorum,3,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
North Rhine-Westphalia,Dianthus carthusianorum,3,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Saarland,Dianthus carthusianorum,R,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Saxony,Dianthus carthusianorum,3,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Schleswig-Holstein,Dianthus carthusianorum,1,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Thuringia,Dianthus carthusianorum,V,Sun,dry,N-poor,NA,permeable,to -40 °C (to Climatic zone 3),40,pink,Bees (3 spp.),Butterflies (16 spp.),NA,3 spp. of mammals,NA,yes,0-40 cm
Baden-Württemberg,Dianthus deltoides,3,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Berlin,Dianthus deltoides,3,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Brandenburg,Dianthus deltoides,3,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Bremen/Lower Saxony,Dianthus deltoides,3,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Hamburg,Dianthus deltoides,1,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Hesse,Dianthus deltoides,V,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Mecklenburg-Western Pomerania,Dianthus deltoides,3,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
North Rhine-Westphalia,Dianthus deltoides,3,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Saarland,Dianthus deltoides,3,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Saxony-Anhalt,Dianthus deltoides,V,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Schleswig-Holstein,Dianthus deltoides,2,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Thuringia,Dianthus deltoides,V,Sun,dry,N-poor,acidic,permeable to loamy,to -40 °C (to Climatic zone 3),30,pink,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,0-40 cm
Baden-Württemberg,Dianthus gratianopolitanus,3,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Bavaria,Dianthus gratianopolitanus,2,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Brandenburg,Dianthus gratianopolitanus,1,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Bremen/Lower Saxony,Dianthus gratianopolitanus,R,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Hesse,Dianthus gratianopolitanus,3,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Rhineland-Palatinate,Dianthus gratianopolitanus,3,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Saxony,Dianthus gratianopolitanus,2,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Saxony-Anhalt,Dianthus gratianopolitanus,R,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Thuringia,Dianthus gratianopolitanus,1,Sun,moist to dry,intermediate,NA,permeable,to -40 °C (to Climatic zone 3),30,rose,Bees,Butterflies (4 spp.),NA,NA,yes,yes,0-40 cm
Baden-Württemberg,Dianthus superbus,3,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Berlin,Dianthus superbus,1,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Brandenburg,Dianthus superbus,2,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Hesse,Dianthus superbus,2,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Mecklenburg-Western Pomerania,Dianthus superbus,2,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Rhineland-Palatinate,Dianthus superbus,2,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Saxony,Dianthus superbus,1,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Dianthus superbus,2,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Schleswig-Holstein,Dianthus superbus,1,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
Thuringia,Dianthus superbus,3,Sun to Half-shade,wet to dry,intermediate,NA,permeable to loamy,to -34 °C (to Climatic zone 4),50,pink,Bees,Butterflies (2 spp.),NA,NA,NA,NA,40-60 cm
North Rhine-Westphalia,Dichoropetalum carvifolia,3,Sun,wet to moist,NA,NA,loamy,NA,100,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Saarland,Dichoropetalum carvifolia,3,Sun,wet to moist,NA,NA,loamy,NA,100,green,NA,Butterflies (1 spp.),NA,NA,NA,NA,60-100 cm
Baden-Württemberg,Dictamnus albus,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -17 °C (to Climatic zone 7),120,rose,Bees,Butterflies (1 spp.),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
Bavaria,Dictamnus albus,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -17 °C (to Climatic zone 7),120,rose,Bees,Butterflies (1 spp.),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
Bremen/Lower Saxony,Dictamnus albus,0,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -17 °C (to Climatic zone 7),120,rose,Bees,Butterflies (1 spp.),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
Hesse,Dictamnus albus,2,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -17 °C (to Climatic zone 7),120,rose,Bees,Butterflies (1 spp.),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
North Rhine-Westphalia,Dictamnus albus,0,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -17 °C (to Climatic zone 7),120,rose,Bees,Butterflies (1 spp.),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
Saxony-Anhalt,Dictamnus albus,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -17 °C (to Climatic zone 7),120,rose,Bees,Butterflies (1 spp.),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
Thuringia,Dictamnus albus,3,Sun to Half-shade,moist to dry,intermediate,NA,permeable to loamy,to -17 °C (to Climatic zone 7),120,rose,Bees,Butterflies (1 spp.),NA,NA,NA,"ja, Kübelgröße groß",100+ cm
Baden-Württemberg,Digitalis grandiflora,V,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Bavaria,Digitalis grandiflora,3,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Brandenburg,Digitalis grandiflora,2,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Bremen/Lower Saxony,Digitalis grandiflora,2,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Hesse,Digitalis grandiflora,V,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Mecklenburg-Western Pomerania,Digitalis grandiflora,1,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
North Rhine-Westphalia,Digitalis grandiflora,2,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Saxony,Digitalis grandiflora,2,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Saxony-Anhalt,Digitalis grandiflora,3,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Thuringia,Digitalis grandiflora,V,Sun to Half-shade,moist to dry,intermediate to N-rich,NA,permeable to normal,to -28 °C (to Climatic zone 5),120,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,"yes, medium pots",100+ cm
Baden-Württemberg,Digitalis lutea,V,Sun to Half-shade,moist,N-rich,NA,permeable to loamy,to -28 °C (to Climatic zone 5),80,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,60-100 cm
North Rhine-Westphalia,Digitalis lutea,3,Sun to Half-shade,moist,N-rich,NA,permeable to loamy,to -28 °C (to Climatic zone 5),80,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,60-100 cm
Saarland,Digitalis lutea,3,Sun to Half-shade,moist,N-rich,NA,permeable to loamy,to -28 °C (to Climatic zone 5),80,yellow,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,yes,yes,60-100 cm
Bavaria,Dipsacus pilosus,3,Sun to Half-shade,wet,NA,NA,loamy,NA,120,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Brandenburg,Dipsacus pilosus,2,Sun to Half-shade,wet,NA,NA,loamy,NA,120,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Hamburg,Dipsacus pilosus,0,Sun to Half-shade,wet,NA,NA,loamy,NA,120,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Saxony,Dipsacus pilosus,2,Sun to Half-shade,wet,NA,NA,loamy,NA,120,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Schleswig-Holstein,Dipsacus pilosus,2,Sun to Half-shade,wet,NA,NA,loamy,NA,120,white,NA,Butterflies (1 spp.),NA,NA,NA,NA,100+ cm
Bavaria,Doronicum pardalianches,2,Half-shade to Shade,moist to dry,intermediate,acidic,permeable to loamy,to -23 °C (to Climatic zone 6),80,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Berlin,Doronicum pardalianches,2,Half-shade to Shade,moist to dry,intermediate,acidic,permeable to loamy,to -23 °C (to Climatic zone 6),80,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Hamburg,Doronicum pardalianches,R,Half-shade to Shade,moist to dry,intermediate,acidic,permeable to loamy,to -23 °C (to Climatic zone 6),80,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Thuringia,Doronicum pardalianches,0,Half-shade to Shade,moist to dry,intermediate,acidic,permeable to loamy,to -23 °C (to Climatic zone 6),80,yellow,Bees,Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,60-100 cm
Baden-Württemberg,Draba aizoides,3,Sun to Half-shade,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),8,yellow,Bees,NA,NA,NA,yes,yes,0-40 cm
Bavaria,Draba aizoides,3,Sun to Half-shade,dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),8,yellow,Bees,NA,NA,NA,yes,yes,0-40 cm
