State,Species,Endangerment,Light,Water,Nutrients,PH-value,Soil,Freezing tolerance,Maximale height,Flower color,Bees,Butterflies,Birds,Mammals,Roof,Balcony,h_binned
Baden-Württemberg,Laserpitium siler,3,Sun,moist to dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),150,white,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Bavaria,Laserpitium siler,3,Sun,moist to dry,N-poor,NA,permeable,to -34 °C (to Climatic zone 4),150,white,Bees (1 spp.),Butterflies (1 spp.),NA,1 spp. of mammals,NA,NA,100+ cm
Baden-Württemberg,Lathyrus aphaca,V,Sun to Half-shade,moist to dry,N-rich,NA,loamy,NA,30,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Rhineland-Palatinate,Lathyrus aphaca,2,Sun to Half-shade,moist to dry,N-rich,NA,loamy,NA,30,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Saarland,Lathyrus aphaca,V,Sun to Half-shade,moist to dry,N-rich,NA,loamy,NA,30,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Saxony-Anhalt,Lathyrus aphaca,2,Sun to Half-shade,moist to dry,N-rich,NA,loamy,NA,30,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Thuringia,Lathyrus aphaca,1,Sun to Half-shade,moist to dry,N-rich,NA,loamy,NA,30,yellow,NA,NA,NA,NA,NA,NA,0-40 cm
Baden-Württemberg,Lathyrus heterophyllus,V,Sun to Half-shade,moist to dry,N-rich,NA,permeable,NA,50,pink,Bees (2 spp.),NA,NA,NA,NA,NA,40-60 cm
Bavaria,Lathyrus heterophyllus,2,Sun to Half-shade,moist to dry,N-rich,NA,permeable,NA,50,pink,Bees (2 spp.),NA,NA,NA,NA,NA,40-60 cm
Bremen/Lower Saxony,Lathyrus heterophyllus,0,Sun to Half-shade,moist to dry,N-rich,NA,permeable,NA,50,pink,Bees (2 spp.),NA,NA,NA,NA,NA,40-60 cm
Saxony-Anhalt,Lathyrus heterophyllus,1,Sun to Half-shade,moist to dry,N-rich,NA,permeable,NA,50,pink,Bees (2 spp.),NA,NA,NA,NA,NA,40-60 cm
Thuringia,Lathyrus heterophyllus,2,Sun to Half-shade,moist to dry,N-rich,NA,permeable,NA,50,pink,Bees (2 spp.),NA,NA,NA,NA,NA,40-60 cm
Berlin,Lathyrus linifolius,3,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Brandenburg,Lathyrus linifolius,V,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Bremen/Lower Saxony,Lathyrus linifolius,V,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
Hamburg,Lathyrus linifolius,1,Sun,moist to dry,N-poor,acidic,permeable to humus,to -28 °C (to Climatic zone 5),30,blue,Bees (2 spp.),NA,NA,NA,NA,NA,0-40 cm
